year,low,central,high
2010,104,207,311
2011,105,210,315
2012,107,213,320
2013,108,217,325
2014,110,220,330
2015,112,223,335
2016,113,227,340
2017,115,230,345
2018,117,234,351
2019,119,237,356
2020,120,241,361
2021,122,245,367
2022,124,248,372
2023,126,252,378
2024,128,256,384
2025,130,260,390
2026,132,264,396
2027,134,268,402
2028,136,272,408
2029,138,276,414
2030,140,280,420
2031,142,285,427
2032,144,289,433
2033,147,293,440
2034,149,298,447
2035,151,302,453
2036,153,307,460
2037,156,312,467
2038,158,316,474
2039,161,321,482
2040,163,326,489
2041,165,331,496
2042,168,336,504
2043,170,341,511
2044,173,346,519
2045,176,351,527
2046,178,356,535
2047,181,362,543
2048,184,367,551
2049,186,373,559
2050,189,378,567
2051,192,384,576
2052,195,390,585
2053,198,396,593
2054,201,402,602
2055,204,408,611
2056,207,414,620
2057,210,420,630
2058,213,426,639
2059,216,433,649
2060,220,439,659
2061,223,446,668
2062,226,452,678
2063,230,459,689
2064,233,466,699
2065,236,473,709
2066,240,480,720
2067,244,487,731
2068,247,495,742
2069,251,502,753
2070,255,510,764
2071,259,517,776
2072,262,525,787
2073,266,533,799
2074,270,541,811
2075,274,549,823
2076,279,557,836
2077,283,565,848
2078,287,574,861
2079,291,583,874
2080,296,591,887
2081,300,600,900
2082,305,609,914
2083,309,618,927
2084,314,628,941
2085,319,637,956
2086,323,647,970
2087,328,656,984
2088,333,666,999
2089,338,676,1014
2090,343,686,1029
2091,348,697,1045
2092,353,707,1060
2093,359,718,1076
2094,364,728,1093
2095,370,739,1109
2096,375,750,1126
2097,381,762,1142
2098,387,773,1160
2099,392,785,1177
2100,398,796,1195